5000	"<font size='120'>50 kills!</font>"
5001	"<font size='120'>60 seconds remain</font>"
5002	"<font size='120'>30 seconds remain</font>"
5003	"<font size='120'>10 seconds remain</font>"
5004	"<font size='120'>5 seconds remain</font>"
5005	"<font size='120'>4 seconds remain</font>"
5006	"<font size='120'>100 kills!</font>"
5007	"<font size='120'>150 kills!</font>"
5008	"<font size='120'>200 kills!</font>"
5009	"<font size='120'>250 kills!</font>"
5010	"<font size='120'>3 seconds remain</font>"
5011	"<font size='120'>2 seconds remain</font>"
5012	"<font size='120'>1 second remains</font>"
5013	"<font size='120'>300 kills!</font>"
5014	"<font size='120'>350 kills!</font>"
5015	"<font size='120'>400 kills!</font>"
10000	"Rewards"
20000	"May receive the items on the right."
45301	"Cannons have spawned. Hit Kezzel just right to knock him down."
453001	"The entrance will close in 5 seconds."
453002	"Drop a powder keg in the path of the giant."
453003	"A cannon has been summoned at the top of the ladder."
453004	"You can activate the drills once every 3 minutes."
453005	"70% of the gate's HP remain. "
453006	"50% of the gate's HP remain. "
453007	"20% of the gate's HP remain. "
453008	"10% of the gate's HP remain. "
453009	"The drill is ready for use again. "
453010	"A drill has been summoned. Get clear! "
905401	"<font size='50'>Water floods the room.</font>"
905402	"<font size='50'>The entrance will close in 5 seconds.</font>"
905403	"<font size='50'>The elevator activates.</font>"
905404	"No! Not the itty bitty living space!"
905405	"Pay attention!"
905410	"<font size='50'>Can you find the real heart?</font>"
905411	"<font size='50'>1</font>"
905412	"<font size='50'>2</font>"
905413	"<font size='50'>3</font>"
905414	"<font size='50'>Let the game begin.</font>"
905415	"<font size='50'>Ah, the heart of the matter.</font>"
905416	"<font size='50'>Now face me!</font>"
905417	"<font size='50'>The door opens.</font>"
905418	"<font size='50'>Failure!</font>"
905419	"<font size='50'>Try Again!</font>"
905420	"<font size='50'>A waterspout barricades the pool.</font>"
905421	"<font size='50'>A gold treasure chest appears.</font>"
905422	"<font size='50'>A silver treasure chest appears.</font>"
905423	"<font size='50'>A treasure chest appears.</font>"
905430	"<font size='50'>The rocks scatter again.</font>"
