5000	"<font size='120'>50 убитых врагов!</font>"
5001	"<font size='120'>Осталось 60 секунд</font>"
5002	"<font size='120'>Осталось 30 секунд</font>"
5003	"<font size='120'>Осталось 10 секунд</font>"
5004	"<font size='120'>Осталось 5 секунд</font>"
5005	"<font size='120'>Осталось 4 секунды</font>"
5006	"<font size='120'>100 убитых врагов!</font>"
5007	"<font size='120'>150 убитых врагов!</font>"
5008	"<font size='120'>200 убитых врагов!</font>"
5009	"<font size='120'>250 убитых врагов!</font>"
5010	"<font size='120'>Осталось 3 секунды</font>"
5011	"<font size='120'>Осталось 2 секунды</font>"
5012	"<font size='120'>Осталось 1 секунда</font>"
5013	"<font size='120'>300 убитых врагов!</font>"
5014	"<font size='120'>350 убитых врагов!</font>"
5015	"<font size='120'>400 убитых врагов!</font>"
10000	"Награды"
20000	"Во время прохождения подземелья можно получить предметы, указанные справа."
45301	"Появились пушки. Нанесите Кеззелу удачный удар, чтобы свалить его."
453001	"Вход закроется через 5 секунд."
453002	"Бросьте бочонок с порохом на пути великана."
453003	"На вершине лестницы появилась пушка."
453004	"Вы можете включать сверла один раз в 3 минуты."
453005	"У ворот осталось 70% HP."
453006	"У ворот осталось 50% HP."
453007	"У ворот осталось 20% HP."
453008	"У ворот осталось 10% HP."
453009	"Сверло снова готово к использованию."
453010	"Призвано сверло. За работу!"
905401	"<font size='50'>Вода заполняет комнату.</font>"
905402	"<font size='50'>Вход закроется через 5 секунд.</font>"
905403	"<font size='50'>Включается подъемник.</font>"
905404	"Нет! Только не мой уютный домик!"
905405	"Внимание!"
905410	"<font size='50'>Сможете ли вы найти настоящее сердце?</font>"
905411	"<font size='50'>1</font>"
905412	"<font size='50'>2</font>"
905413	"<font size='50'>3</font>"
905414	"<font size='50'>Да начнется игра!</font>"
905415	"<font size='50'>Вот мы и добрались до сути дела.</font>"
905416	"<font size='50'>Сразись со мной!</font>"
905417	"<font size='50'>Дверь открывается.</font>"
905418	"<font size='50'>Неудача!</font>"
905419	"<font size='50'>Попробуйте еще раз!</font>"
905420	"<font size='50'>Водяной смерч закрывает путь в бассейн.</font>"
905421	"<font size='50'>Появляется золотой сундук с сокровищами.</font>"
905422	"<font size='50'>Появляется серебряный сундук с сокровищами.</font>"
905423	"<font size='50'>Появляется сундук с сокровищами.</font>"
905430	"<font size='50'>Камни снова рассыпаются.</font>"
905450	"<font size='50'>Дар новичка активируется через 30 секунд.</font>"
905451	"<font size='50'>Дар новичка активирован (1/3).</font>"
905452	"<font size='50'>Дар новичка активирован (2/3).</font>"
905453	"<font size='50'>Дар новичка активирован (3/3).</font>"
905454	"<font size='50'>Дар новичка активирован (1/1).</font>"
905601	"<font size='30'>Мировая печать черпает силу миров.</font>"
905602	"<font size='30'>Шкала событий растет.</font>"
905603	"<font size='30'>Вскоре появится Эремес, темный мировой дракон.</font>"
905604	"<font size='30'>Сфера защищает и усиливает темного мирового дракона.</font>"
905610	"<font size='20'>Заблудший во времени</font>"
905611	"<font size='20'>Печать</font>"
905612	"<font size='30'>Темная печать станет активна через 30 секунд.</font>"
905613	"<font size='30'>Темная печать активна.</font>"
905614	"<font size='30'>Печать солнца начинает сиять.</font>"
905615	"<font size='30'>Печать солнца станет активна через 30 секунд.</font>"
905616	"<font size='30'>Печать солнца активна.</font>"
905620	"<font size='50'>Вы расправились с узором.</font>"
905621	"<font size='50'>Яну впитывает силу Печати солнца.</font>"
905622	"<font size='50'>Яну впитывает силу Темной печати.</font>"
905623	"<font size='50'>Яну впитывает силу Мировой печати.</font>"
905624	"<font size='50'>Сила солнца растет.</font>"
905625	"<font size='50'>Сила тьмы растет.</font>"
905626	"<font size='50'>Сила Богини растет.</font>"
905630	"<font size='50'>Ты смеешь атаковать нас? Какая глупость!</font>"
912701	"Размер группы подходит под условие: минимум 5 игроков."
975401	"<font size='50'>Вода заполняет комнату.</font>"
975402	"<font size='50'>Вход закроется через 5 секунд.</font>"
975403	"<font size='50'>Включается подъемник.</font>"
975404	"Нет! Только не мой уютный домик!"
975405	"Внимание!"
975420	"<font size='50'>Чистая вода заполняет бассейн.</font>"
975430	"<font size='50'>Камни снова рассыпаются.</font>"
975431	"<font size='50'>Дверь открывается.</font>"
975601	"<font size='30'>Разрушенная сфера дракона вот-вот взорвется.</font>"
975602	"<font size='30'>Энергия сферы окружает светлого дракона.</font>"
975603	"<font size='30'>Сфера дракона затуманивает ваш разум.</font>"
975604	"<font size='30'>Сила сферы рассеивается.</font>"
975605	"<font size='30'>Через 10 секунд поле битвы закроется.</font>"
975606	"<font size='30'>Возродится через 3 секунды.</font>"
975607	"<font size='30'>Каменный знак становится активным.</font>"
975608	"<font size='30'>Требуются заблудшие во времени.</font>"
975609	"<font size='30'>Обелиск времени стал активным.</font>"
975610	"<font size='30'>Дух истончается и растворяется в воздухе.</font>"
975611	"<font size='30'>За аркой появляется прозрачный мост.</font>"
2102000	"<font size='25'color='#FFCD12'>Нужно помочь Эллеону!</font></font>"
2102100	"..."
2102101	"У меня даже в мыслях такого... не было."
2102200	"Туда!"
2102201	"Вашему бесстрашию стоит только позавидовать, раз вы здесь."
2102202	"Теперь вы останетесь здесь навечно!"
2102203	"А-а-а!"
2102300	"Этот... мерзавец!"
2102301	"Атакуйте его!!!"
2102400	"Подожди минутку..."
2102401	"Надо помочь Эллеону!"
2102402	"Надо найти Эллеона! Что-то тут не так"
2102403	"Эллеон... С ним что-то не так."
2103100	"Мы с Троем пойдем направо и поищем там."
2103101	"А ты иди налево."
2103102	"Сюда, скорее!"
2103103	"Трой нашел способ выбраться."
2103104	"А это не..."
2103105	"Останови вон тот."
2103106	"Я остановлю тот, что напротив."
2103200	"Стой!"
2103300	"Да как ты смеешь заявляться сюда!"
2103400	"Я больше не позволю тебе войти!"
2103500	"Я прикончу тебя!"
2103600	"Надо убираться отсюда!"
2103601	"Сюда!!! Быстрее!!!"
2103602	"Черт возьми, Эллеон!.."
2103603	"Быстрее! Помоги мне установить бомбу. Она тяжелая..."
2103604	"Видимо, тут нужна не физическая сила... Давай сначала посмотрим!"
2103605	"Спасибо, теперь я справлюсь!"
2103606	"Иди туда и помоги Эллеону!"
2103700	"Нет..."
2103701	"Мерзавцы...!!!"
2103800	"Нет..."
2103801	"Мне жаль... Позволь перевести дух..."
2105001	"Я помогу вам."
2106000	"Начало битвы с Лукмией"
2106100	"Здесь вы найдете только свою смерть."
2106101	"Я вас уничтожу."
2106200	"Убейте Лукмию."
3001001	"Слишком... много силы... а-а-а!"
3001002	"Вперед! Навалитесь! Справимся!"
3001003	"Что ты творишь? Хочешь остаться навсегда?"
3001004	"Такому не бывать! Не смейте мешать моей мести!"
3001005	"Наглые глупцы. Теперь этим займусь я!"
3001006	"Нарушитель! Узри гнев всемогущего Лока!"
3001007	"Появился Душегубитель!"
3001008	"Вступите в ближний бой с Мурдранаком!"
3001100	"Вы будете получать дар каждую минуту."
3001101	"Дар активирован (1/3)."
3001102	"Дар активирован (2/3)."
3001103	"Дар активирован (3/3)."
3001200	"<img src='img://__Icon_Items.Add_Extract_Potion_2_Tex' width='28' height='28'>Боевое зелье высокого уровня и<img src='img://__Icon_Items.potion10_Tex' width='28' height='28'>Зелье храбрости - самые основные <font color='#ffe761'>усиливающие предметы</font>."
3001201	"<img src='img://__Icon_Items.fallfestival_bulgogi_Tex' width='28' height='28'>Еда и<img src='img://__Icon_Items.noctan_Tex' width='28' height='28'>Настои нотиния - <font color='#ffe761'>хорошие усиливающие предметы</font>. Вы можете использовать их, как вам хочется."
3002001	"В подвале открывается потайная дверь."
3002002	"Будьте настороже!"
3002003	"Соберитесь! Вы здесь, чтобы драться, а не по сторонам глазеть!"
3002004	"Хочешь умереть - умирай в одиночку!"
3002005	"Это... конец?"
3002006	"Какая дерзость! Из тех, кто бросил вызов агенту Атель-акаад, не выжил никто."
3002007	"Вперед, Малгариос! Разорви их на кусочки!"
3002008	"Как?! Как могли эти жалкие дилетанты победить тебя? Вы пожалеете об этом, глупцы, вы меня слышите? Вы пожалеете!"
3002100	"Вы будете получать дар каждую минуту."
3002101	"Дар активирован (1/3)."
3002102	"Дар активирован (2/3)."
3002103	"Дар активирован (3/3)."
3003001	"Больше вы никому не помешаете... вам пришел конец!"
3003002	"Стражники узнали о проникновении. Берегитесь!"
3003003	"Смотрители приближаются. Не подпускайте их ко мне хотя бы три минуты, хорошо?"
3003004	"Вторая волна смотрителей!"
3003005	"Идет третья волна!"
3003006	"Четвертая волна? Серьезно?"
3003007	"Последняя волна смотрителей! Так или иначе..."
3003008	"Все смотрители мертвы."
3003009	"Баррикад у входа в зал жрецов не осталось."
3003010	"Госпожа Теркасия, спаси меня!"
3003011	"Теркасия, стражница-предательница, появилась в божественной палате."
3003012	"Что-то призвали сюда. Что-то... огромное!"
3003021	"Прошло 2 минуты."
3003022	"Прошло 4 минуты."
3003023	"Прошло 4 минуты 30 секунд."
3003024	"Защита завершена."
3003025	"Если вы потерпите неудачу, вам придется покинуть подземелье и сбросить его, чтобы выполнить задание."
3003101	"Восточная дверь открывается."
3003102	"Западная дверь открывается."
3003103	"Дверь открывается."
3003104	"Вы хотели обрести книги и знания... Но вы получите лишь мучения и кровь. Как ты смеешь мешать мне?!"
3003105	"Моя месть - это ваша смерть!"
3003106	"Когда Самородок маны был уничтожен, окружавшая его темная аура рассеялась."
3003107	"Со смертью Акии открывается большая дверь."
3003108	"Женщина становится больше."
3003109	"Приближается незнакомец."
3003110	"Мы ждали тебя! Теркасия!"
3003111	"Победа! Культисты больше нам не угражают!"
3003112	"Последний шаг - уничтожение алтаря Самаэля. Следуйте за мной."
3003200	"Вы будете получать дар каждую минуту."
3003201	"Дар активирован (1/3)."
3003202	"Дар активирован (2/3)."
3003203	"Дар активирован (3/3)."
3004001	"Спасибо большое!"
3004002	"Далманак призывает приспешника!"
3004003	"Далманак призывает приспешника!"
3004004	"Мутировавший Кайдун призывает приспешников!"
3004005	"Лица плененных кайдунских солдат начинают светиться."
3004006	"Далманак мертв. Энергия некромантии слабеет."
3004007	"(Кайдун мутировал, попав под воздействие энергии некромантии.)"
3004008	"(Приближается Мутировавший Кайдун.)"
3004009	"Злые духи появляются из темноты."
3004010	"Мутировавший Кайдун теряет способность сопротивляться опрокидыванию."
3004100	"Вы будете получать дар каждую минуту."
3004101	"Дар активирован (1/3)."
3004102	"Дар активирован (2/3)."
3004103	"Дар активирован (3/3)."
3005001	"Смерть пришедшим!"
3005002	"Бормочет."
3005006	"Закрытая дверь открывается!"
3005007	"Дверь открывается!"
3005008	"Открывается дверь в Зал испытаний."
3005100	"Вы будете получать дар каждую минуту."
3005101	"Дар активирован (1/3)."
3005102	"Дар активирован (2/3)."
3005103	"Дар активирован (3/3)."
3006100	"Вы будете получать дар каждую минуту."
3006101	"Дар активирован (1/3)."
3006102	"Дар активирован (2/3)."
3006103	"Дар активирован (3/3)."
3007001	"Начнем испытание."
3007002	"Не разочаруйте меня."
3007003	"Это первое испытание."
3007004	"Покажите мне доказательство вашего истинного прошлого."
3007005	"Вы помните герцога Волперона из Зловещего Особняка."
3007006	"Вы помните Теркасию из Убежища Культистов?"
3007007	"Вы помните Карашу?"
3007008	"Сможете ли вы это преодолеть?"
3007009	"Вы завершили первое испытание."
3007010	"Однако это лишь первый шаг из многих."
3007011	"Сможете ли вы справиться?"
3007012	"Это второе испытание."
3007013	"Это третье испытание."
3007014	"Это последнее испытание."
3007015	"Не разочаруйте меня."
3007016	"Впечатляюще... и весьма занятно."
3007017	"Кто-то украл ключ от Когтя Салерона."
3007018	"Вы завершили второе испытание."
3007019	"Вы завершили третье испытание."
3007020	"Осталось последнее испытание."
3007021	"Ха-ха! Я остановлю вас!"
3007022	"Кровавые Осколки призваны!"
3007023	"Ужасный некарус вызвал Неопытного некаруса."
3007024	"Ужасный некарус вызвал Опытного некаруса."
3007025	"Зетирус Магус призывал Велтарус Магуса."
3007026	"Зетирус Магус призывал Малдрикта Магуса."
3007027	"Призваны Пилоны Дисперсуса!"
3007028	"Враги рядом с Кровавым Осколком становятся сильнее!"
3007029	"Как ты смеешь поднимать оружие на мое семейство?!"
3007030	"Появилась герцогиня Тирания!"
3007031	"Я не прощу вас!"
3007032	"Врата закроются через 3 секунды."
3007033	"5"
3007034	"4"
3007035	"3"
3007036	"2"
3007037	"1"
3007038	"Врата закрыты!"
3007039	"После гибели Трисока монстры исчезают."
3007040	"Если убьете охотников за сокровищами, сможете получить ключ, с помощью которого можно попасть на скрытый уровень!"
3007100	"Вы будете получать дар каждую минуту."
3007101	"Дар активирован (1/3)."
3007102	"Дар активирован (2/3)."
3007103	"Дар активирован (3/3)."
3007900	"Появляются Мандрагора-молельщик и Златогривый длиннорог!"
3007901	"Мандрагора-молельщик и Златогривый длиннорог уничтожены!"
3007902	"Появляются Мандрагора-мантрар и ее отпрыски!"
3007903	"Мандрагора-мантрар и ее отпрыски уничтожены!"
3007904	"Опасность на террасе три!"
3007905	"Терраса три очищена! Появляется Зенобический кристалл."
3007906	"Призыв врагов в комнате 4."
3007907	"Очистить комнату 4."
3007908	"Призыв усиливающего объекта для врага в комнате 4."
3007909	"Именной великан уничтожен."
3007910	"Призыв врагов в комнате 6."
3007911	"Очистить комнату 6."
3007912	"Призыв врагов в комнате 7."
3007913	"Очистить комнату 7."
3007914	"Призыв Фимбрилиска в комнате 8."
3007915	"Уничтожить Фимбрилиска в комнате 8."
3007916	"Призыв Вождя-нежити 3 в комнате 8."
3007917	"Уничтожить Вождя-нежити 3 в комнате 8."
3007918	"Призыв Волшебника-дракона в комнате 8."
3007919	"Уничтожить Волшебника-дракона в комнате 9."
3007920	"Призыв врагов в комнате 9."
3007921	"Очистить комнату 9."
3007922	"Промежуточное событие в комнате 9."
3007923	"Каменная статуя убийцы в комнате 10 призывает трех убийц."
3007924	"Каменная статуя мага в комнате 10 призывает трех магов."
3007925	"В комнате 10 призвано два убийцы."
3007926	"Убийца 2-1 убит, и в комнате 10 призван 1 убийца."
3007927	"Убийца 2-2 убит, и в комнате 10 призван 1 убийца."
3007928	"В комнате 10 призвано два мага."
3007929	"Маг 2-1 убит, и в комнате 10 призван 1 маг."
3007930	"Маг 2-2 убит, и в комнате 10 призван 1 маг."
3007931	"Убийцы в комнате 10 уничтожены."
3007932	"Маги в комнате 10 уничтожены."
3007933	"Призыв ключевого монстра"
3007934	"Ключевой монстр не призван"
3007935	"Открыты выходы во всех комнатах"
3008001	"Где-то открывается дверь."
3008002	"Путь свободен."
3008100	"Вы будете получать дар каждую минуту."
3008101	"Дар активирован (1/3)."
3008102	"Дар активирован (2/3)."
3008103	"Дар активирован (3/3)."
3009001	"Дверь открывается."
3009002	"Тулса бежит на вершину алтаря."
3009100	"Вы будете получать дар каждую минуту."
3009101	"Дар активирован (1/3)."
3009102	"Дар активирован (2/3)."
3009103	"Дар активирован (3/3)."
3010002	"Вы попадаете в ловушку!"
3010003	"Что-то падает сверху."
3010004	"Вы обезвредили ловушку."
3010005	"Дверь в комнату открывается."
3010011	"Вы убили Келсаика!"
3010012	"Вы вошли в Залы Келсаика"
3010013	"Дверь в комнату закрывается."
3010100	"Вы будете получать дар каждую минуту."
3010101	"Дар активирован (1/3)."
3010102	"Дар активирован (2/3)."
3010103	"Дар активирован (3/3)."
3011002	"Исчезающая магия."
3011003	"Новое появление!"
3011004	"Убейте синих аргонов. Усиленные аргоны снижают здоровье врага."
3011005	"Убейте красных аргонов. Усиленные аргоны снижают здоровье врага."
3011007	"Каждый раз, когда у меня проливается кровь, вас будут заражать паразиты!"
3011008	"К вам слетаются невидимые паразиты."
3011011	"Приближается орда монстров. Разбейте кокон, прежде чем они появятся!"
3011012	"Приближаются Клыкастые пожиратели!"
3011013	"Телепорт открыт! Ко мне, мои слуги!"
3011015	"Битва продлилась 15 минут. Шандра Манайя впадает в огненную ярость!"
3011016	"В упорстве вам не откажешь. Вперед, мои слуги!"
3011017	"Я сделаю вас сильнее!"
3011019	"Глупцы!"
3011020	"Это лишь начало!"
3011021	"Битва продлилась 6 минут. Хратгол впадает в огненную ярость!"
3011022	"Битва продлилась 6 минут. Мелкатран впадает в огненную ярость!"
3011023	"Дверь вскоре закроется."
3011024	"Сплетение вскоре закроется."
3011025	"Все убитые приспешники теперь слились со мной!"
3011100	"Вы будете получать дар каждую минуту."
3011101	"Дар активирован (1/3)."
3011102	"Дар активирован (2/3)."
3011103	"Дар активирован (3/3)."
3011104	"Прыгните, чтоб стряхнуть паразитов!"
3018000	"Боевое пространство скоро закроется."
3018101	"Пополнение энергии"
3018102	"Чрезмерное пополнение энергии"
3018103	"Завершение пополнения энергии..."
3018104	"Изнеможение..."
3018105	"Действует энергетический столб 1"
3018106	"Действует энергетический столб 2"
3018107	"Действует энергетический столб 3"
3018108	"Действует энергетический столб 4"
