1	"Time to kill!"
2	"Form up!"
3	"Hold nothing back!"
4	"All together now!"
5	"Hee hee!"
6	"We are one!"
7	"One! Two! Three!"
8	"Get in formation!"
9	"Earth! Water! Wind! Fire!"
10	"Get in formation!"
11	"Everyone attack!"
12	"Mind your spacing!"
13	"Brace for enemy contact!"
14	"Stay in formation."
15	"We cannot fail!"
16	"Show them our strength."
17	"Defense formation!"
18	"Danger! Take cover!"
19	"I will annihilate you!"
20	"Remember your training!"
21	"Move! Move!"
22	"Get moving!"
23	"Surround that scoundrel!"
24	"Everyone spread out!"
25	"None shall pass!"
26	"Show 'em what true defense means!"
27	"Everybody surround that rat!"
28	"Move like the wind!"
29	"Use your heads! Move!"
30	"Don't mill about! Get into formation!"
31	"Move! Move!"
32	"Too slow! Move faster!"
33	"Put some effort into it!"
34	"Run! Run! Everybody move!"
35	"You wanna die? Get into formation right now!"
36	"Get it right, before I beat you myself!"
37	"Why are you so slow? Did you step in a Tuwangi pie?"
38	"Focus! If you don't want to die."
39	"Hold the line! Aim for their weak spots!"
40	"Pay attention! Focus on the enemy."
41	"Move it! And keep your eyes open!"
42	"Come here and protect me!"
43	"Attack! You want to live forever?"
44	"The time is now! The enemy is disoriented!"
45	"Attack the one standing alone!"
46	"That's the weak spot! Aim for that one first!"
47	"That one seems weakest! Attack!"
48	"Isolate and attack!"
49	"March!"
50	"Discipline wins this battle!"
51	"My minions!"
52	"This isn't over!"
53	"I'll surprise you..."
54	"Come, my children."
55	"From the darkness..."
56	"Come back from the dream!"
57	"Come, my brothers..."
58	"Come back, my brothers!"
59	"Come out, my brothers...."
60	"Appear... my puppets..."
61	"Through the power of darkness..."
62	"Can't die... must not die!"
63	"There is no hope..."
64	"Don't just stand there. Fight!"
65	"It's only the beginning."
66	"Lend me your strength, my brothers!"
67	"Get up and fight!"
68	"But... my friends..."
69	"Ha ha ha!"
70	"I thank you..."
71	"Come, my tuwangis!"
81	"It's battle time!"
82	"Now we show our real strength!"
83	"Brothers, come out and join us!"
84	"Ha ha ha! I will destroy you!"
85	"You think this is the end? It's only the beginning!"
86	"Behold! An unending torrent of monsters!"
